Comuna;Tipo_Vivienda;N_Habitaciones;N_Baños;N_Estacionamientos;Total_Superficie_M2;Superficie_Construida_M2; Valor_UF ;Valor_CLP;Dirección;Quién_Vende;Corredor
La Cisterna;Casa;2;1;No;293;90;4166;120000000;La Cisterna, Brisas del Maipo/Vespucio Sur;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
La Cisterna;Casa;5;2;;620;155;13800;397440000;La Cisterna, Colón 8187;DANIELA TAMARA MEDINA OSSES;Vende Dueño/a
La Cisterna;Casa;3;2;3;170;105;3298;95000000;La Cisterna, Ernesto Riquelme;Ayelen Sepulveda Jara;Vende Dueño/a
La Cisterna;Casa;4;1;No;452;230;4097;118000000;La Cisterna, Casa 1 Piso en Población San Ramón;Corretajes Prosal Ltda.;Corretajes Prosal
La Cisterna;Casa;7;4;No;0;180;5555;160000000;La Cisterna, Piloto guillaimet/gran avenida;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Cisterna;Casa;3;2;3;748;195;7638;220000000;La Cisterna, comandante soza;Cecilia Suarez Cavallo;Vende Dueño/a
La Cisterna;Casa;4;2;No;250;125;6250;180000000;La Cisterna, Livio morra/angamos;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Cisterna;Casa;3;1;No;420;140;6597;190000000;La Cisterna, Ramon carvallo/gran avenida jose miguel carrera;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Cisterna;Casa;4;2;3;264;120;7291;210000000;La Cisterna, Prof Alcaíno 564;Aisen Pro;Aisen Pro
La Cisterna;Casa;3;1;No;346;96;7465;215000000;La Cisterna, Gran Avenida/Manuel Fischman;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
La Cisterna;Casa;6;3;6;588;149;7533;216950400;La Cisterna, Bombero Encalada;Duranes Propiedades;Duranes Propiedades
La Cisterna;Casa;3;1;No;420;140;6666;192000000;La Cisterna, Ramon carvallo/gran avenida jose miguel carrera;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Cisterna;Casa;4;3;No;362;295;9000;259200000;La Cisterna, Metro La Cisterna / Bombero Encalada/Gran Avenida;Evaristo Lillo;Evaristo Lillo
La Florida;Casa;5;4;No;300;140;7487;215650000;La Florida, Los Olivos/Los Raulíes;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
La Florida;Casa;4;2;;245;85;4340;125000000;La Florida, Avenida Mexico;Work Inmobiliario;Vende Dueño/a
La Florida;Casa;3;2;1;;;2812;81000000;La Florida, El tronco;Francisco Lopez;Vivienda Integral
La Florida;Casa;2;1;No;890;75;15624;450000000;La Florida, Santa Julia/Brasil;Felipe Acosta Propiedades Peñalolén;Procasa Felipe Acosta Propiedades Peñalolén
La Florida;Casa;5;3;No;305;140;8263;238000000;La Florida, Rojas magallanes/avda ecuador;Alonso Baeza Rivera y Cía. Ltda. (Kennedy);Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
La Florida;Casa;3;2;2;259;102;4750;136800000;La Florida, Santa Liliana;VERCETTI PROPIEDADES;Vercetti Propiedades
La Florida;Casa;3;3;2;282;114;6200;178560000;La Florida, Portales de Piedra Oriente;Cristian Rivas Fuentes;Vende Dueño/a
La Florida;Casa;4;2;No;819;123;10416;300000000;La Florida, Casa de un piso a pasos de Estación metro Trinidad. La Florida;Corretajes Prosal Ltda.;Corretajes Prosal
La Florida;Casa;4;3;1;1000;250;17000;489600000;La Florida, Rojas Magallanes/Vicuña Mackenna;Mauricio Pino Propiedades;Mauricio Pino Propiedades
La Florida;Casa;3;2;2;240;114;4861;140000000;La Florida, P.20 Avda. La Florida Entre Santa Amalia y Santa Inés;Gloria Torneria Spool;Vende Dueño/a
La Florida;Casa;5;3;6;269;122;7500;216000000;La Florida, Tte de Marina Rolando Froden;SGQ PROPIEDADES;Sgq Propiedades
La Florida;Casa;3;2;No;0;0;1562;45000000;La Florida, La Florida, Región Metropolitana;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
La Florida;Casa;4;2;No;671;226;19790;570000000;La Florida, Santa Julia/Av. Mexico;Alonso Baeza Rivera y Cía. Ltda.;Alonso Baeza Rivera y Cía. Ltda.
La Florida;Casa;3;1;;64;78;1805;52000000;La Florida, La Arena 1084;Juan Carlos Palma;Vitahome Propiedades
La Florida;Casa;1;1;No;3190;95;20500;590400000;La Florida, Colegio Antuquenu Andino;Cata Brochet Propiedades;Cata Brochet Propiedades
La Florida;Casa;4;4;5;1600;182;18720;539136000;La Florida, Lientur;Sandra Ríos Fonseca;Sp Rios Propiedades
La Florida;Casa;3;2;No;250;100;4479;129000000;La Florida, México/Walker Martinez;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
La Florida;Casa;4;2;2;250;120;6500;187200000;La Florida, Camino de La Providencia;Good Propiedades Ltda.;Good Propiedades Ltda.
La Florida;Casa;3;5;No;1000;340;24304;700000000;La Florida, Panama con santa julia;Vip Gestión inmobiliaria;Vip Gestion Inmobiliaria
La Florida;Casa;3;3;No;700;200;7916;228000000;La Florida, Propiedad de 700m2 de terreno en sector residencial. La Florida;Corretajes Prosal Ltda.;Corretajes Prosal
La Florida;Casa;2;1;No;72;62;1562;45000000;La Florida, Casa en San José de la Estrella;Armacima LImitada;Armacima Propiedades
La Florida;Casa;4;3;;280;180;8297;238953600;La Florida, Paraguay / rojas magallanes;Kap Propiedades;Vende Dueño/a
La Florida;Casa;3;2;2;250;120;6423;185000000;;Sandra Vargas Céspedes;Alianza Pro Gestión Inmobiliaria
La Florida;Casa;3;2;2;245;86;4340;125000000;La Florida, Avenida Mexico;Sandra Jara C;Mundo propiedades Chile
La Florida;Casa;4;2;No;250;110;6654;191635200;La Florida, Quebrada Las Perdices/Camino el Convento;Alonso Baeza Rivera y Cía. Ltda.;Alonso Baeza Rivera y Cía. Ltda.
La Florida;Casa;5;4;2;266;140;6800;195840000;;Carla Figueroa;Vende Dueño/a
La Florida;Casa;5;3;No;1000;230;13888;400000000;La Florida, Panama/Rojas Magallanes;Alonso Baeza Rivera y Cía. Ltda.;Alonso Baeza Rivera y Cía. Ltda.
La Florida;Casa;16;12;3;890;389;12430;358000000;;Jorge Rodriguez;Difusion Propiedades
La Florida;Casa;3;2;1;250;150;5034;145000000;La Florida, Av. Vicuña mackenna/bacteriológico;Mauricio Pino Propiedades;Mauricio Pino Propiedades
La Granja;Casa;2;1;2;160;60;2083;60000000;La Granja, Benjamin Subercaseaux;Felipe Muñoz Sepúlveda;Intermedia Propiedades
La Granja;Casa;5;2;8;714;183;5555;160000000;La Granja, Puerto varas;SGQ PROPIEDADES;Sgq Propiedades
La Granja;Casa;16;4;No;250;200;6250;180000000;La Granja, Las Fucsias;María Fernanda;Invierte Propiedades
La Granja;Casa;4;1;1;167;82;3107;89500000;La Granja, Odas Elementales;VISEM EIRL;Inmobiliaria e Inversiones Cesar Mercado Pavez EIRL
La Granja;Casa;2;1;No;122;70;1736;50000000;La Granja, Los vilos/lo ovalle;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
La Granja;Casa;6;1;3;1250;200;8159;235000000;La Granja, Pto Varas 7820;Francisco Lopez;Vivienda Integral
La Granja;Casa;4;2;1;125;125;2604;75000000;La Granja, Benjamin Subercaseaux;Paulina Zuleta López;Vende Dueño/a
La Granja;Casa;4;1;3;100;100;2604;75000000;La Granja, Cunlahua;Alessandro Matteucci Cajas;Alessandro Matteucci Cajas
La Granja;Casa;5;3;1;170;180;3819;110000000;La Granja, Los pensamientos / totalmente equipada/vive al mas alto nivel en la granja;RED Gestión Propiedades;Red Gestión Propiedades
La Granja;Casa;3;1;No;319;151;1736;50000000;La Granja, Casa 2 Pisos en San Gregorio;Corretajes Prosal Ltda.;Corretajes Prosal
La Granja;Casa;6;2;4;;283000;3993;115000000;La Granja, San Gregorio 0489;Emerson Hernan Mancilla Gomez;Vende Dueño/a
La Granja;Casa;19;6;No;200;170;6250;180000000;La Granja, Las Begonias;María Fernanda;Invierte Propiedades
La Pintana;Casa;2;1;1;82;42;1510;43500000;La Pintana, Poeta Rafael Alberti 2326;Marcela Auda;Vende Dueño/a
La Pintana;Casa;4;1;2;120;100;1389;40000000;La Pintana, Atropos 10835;ariel benjamin maturana navarrete;Propiedades Maturana Chile Spa
La Pintana;Casa;3;3;No;2500;200;10069;290000000;La Pintana, Los platanos/santa rosa;Mauricio Pino Propiedades;Mauricio Pino Propiedades
La Pintana;Casa;3;1;1;104;104;2153;62000000;La Pintana, El Mudai 10848;Horacio Alfredo Gonzalez Acum;Vende Dueño/a
La Pintana;Casa;3;1;2;200;140;2083;60000000;La Pintana, Teniente pérez canto  ( referencia Lo Martines );Nieves Galan;Vende Dueño/a
La Pintana;Casa;5;2;No;206;57;1979;57000000;La Pintana, Lo Martínez/Rubén Darío;Aleida Lama Propiedades;Aleida Lama Propiedades
La Pintana;Casa;3;2;2;230;110;2014;58000000;La Pintana, AV. San Francisco 12342, La Pintana;Richard Acharán Barría;Vende Dueño/a
La Pintana;Casa;3;1;1;99;69;1458;42000000;La Pintana, Jorge Hunneus 332;Corredor Pro SpA.;Corredorpro Spa
La Pintana;Casa;4;2;2;92;47;1667;48000000;La Pintana, Santa Isidora;Work Inmobiliario;Work Inmobiliario
La Pintana;Casa;2;1;3;150;120;1528;44000000;La Pintana, Manantiales 2022;ariel benjamin maturana navarrete;Propiedades Maturana Chile Spa
La Pintana;Casa;3;1;1;100;90;1351;38900000;La Pintana, Aníbal Huneeus 0685, La Pintana, Chile;Ulises David Candia Becerra;Vende Dueño/a
La Pintana;Casa;3;1;3;132;100;1250;36000000;La Pintana, Juanita;ariel benjamin maturana navarrete;Propiedades Maturana Chile Spa
La Pintana;Casa;4;2;No;162;120;2604;75000000;La Pintana, Lo Blanco/San Francisco;Propiedades Centro Santiago SPA;Propiedades Centro Santiago SPA
La Pintana;Casa;2;1;;61;53;1285;37000000;La Pintana, Pasaje Santa Trinidad 11043;Grupo Enlace Inversiones Inmobiliarias;Grupo Enlace Inversiones Inmobiliarias
La Pintana;Casa;8;3;3;;274;4514;130000000;La Pintana, Pasaje Irun;Ayelen Sepulveda Jara;Vende Dueño/a
La Pintana;Casa;3;2;2;243;1;2951;85000000;La Pintana, Teniente Luis Cruz Martínez;Ignacio Mardones Sarabia;Vende Dueño/a
La Pintana;Casa;4;2;No;119;0;2257;65000000;La Pintana, Capitán Layseca/Prunos;RED Gestión Propiedades;Red Gestión Propiedades
La Pintana;Casa;3;1;3;120;90;1215;35000000;La Pintana, Prunos13848;ariel benjamin maturana navarrete;Propiedades Maturana Chile Spa
La Pintana;Casa;4;2;5;486;140;5208;150000000;La Pintana, Julio Chávez;ANDREA SILVA;Vende Dueño/a
La Reina;Casa;9;4;No;1230;310;16900;486720000;La Reina, Tobalaba - Arrieta;Cata Brochet Propiedades;Cata Brochet Propiedades
La Reina;Casa;3;2;No;450;186;8992;258990000;La Reina, Metro Simón Bolivar/Av. Echeñique;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;4;2;No;0;220;14000;403200000;La Reina, Simon gonzalez/vicente perez rosales;Cristian Vial Propiedades;Cristian Vial Propiedades
La Reina;Casa;5;4;;1000;280;19900;573120000;La Reina, Alvaro Casanova 965;Francisca Abarca;Francisca Abarca
La Reina;Casa;2;2;1;80;83;3646;105000000;La Reina, Piuchén;Silvia Marcela Viedma Norambuena;Vende Dueño/a
La Reina;Casa;7;5;No;526;248;17990;518112000;La Reina, Tomás Mora/Av. Fco. Bilbao;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;3;3;No;600;220;11458;329999999;La Reina, Francisco de Villagra/Bramante;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;4;2;No;857;163;21700;624960000;La Reina, Santa Rita/Simon Bolivar;Carlos Hurtado Rogers;Hurtado Propiedades S.A.
La Reina;Casa;5;4;No;600;240;24000;691200000;La Reina, Loreley / Echeñique;Schumacher Propiedades;Schumacher Propiedades
La Reina;Casa;6;5;4;1100;450;19800;570240000;La Reina, 7D y 6B l Escultora Rebeca Matte l Helsby;María Francisca Lilienfeld;Vende Dueño/a
La Reina;Casa;4;3;No;470;209;13402;385999000;La Reina, Simón Bolivar/Valenzuela Llanos;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;3;2;No;600;140;15650;450720000;La Reina, Julia bernstrein/Alvaro casanova;RED Gestión Propiedades;Red Gestión Propiedades
La Reina;Casa;3;3;No;672;140;16500;475200000;La Reina, alvaro casanova/alvaro Casanova LM;Cristian Vial Propiedades;Cristian Vial Propiedades
La Reina;Casa;5;3;No;1350;242;24000;691200000;La Reina, Padre Hurtado Sur/Valenzuela PUelma;Alonso Baeza Rivera y Cía. Ltda.;Alonso Baeza Rivera y Cía. Ltda.
La Reina;Casa;7;5;5;1400;400;27520;792576000;La Reina, 7D 5B + Servicio + Club House/Reina Victoria/Príncipe de Gales – Inmobiliaria, Residencial Adultos Mayores, Colegio;María Francisca Lilienfeld;Vende Dueño/a
La Reina;Casa;2;1;No;64;56;2760;79500000;La Reina, Las Perdices/Talinay;Aleida Lama Propiedades;Aleida Lama Propiedades
La Reina;Casa;4;3;No;600;180;16000;460800000;La Reina, Loreley/Monseñor edwards;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
La Reina;Casa;4;3;No;1343;275;24000;691200000;La Reina, Padre Hurtado/Valenzuela Puelma;Alonso Baeza Rivera y Cía. Ltda.;Alonso Baeza Rivera y Cía. Ltda.
La Reina;Casa;3;4;No;404;144;12900;371520000;La Reina, Av. Alcalde Fernando Castillo Velasco / María Monvel;Cata Brochet Propiedades;Cata Brochet Propiedades
La Reina;Casa;3;2;No;550;140;15000;432000000;La Reina, Julia bernstrein/Alvaro casanova;RED Gestión Propiedades;Red Gestión Propiedades
La Reina;Casa;4;3;No;954;230;21000;604800000;La Reina, Carlos Silva Vildósola - Las Perdices/María Monvel - Altazor;Carlos Hurtado Rogers;Hurtado Propiedades S.A.
La Reina;Casa;3;4;No;1070;250;19500;561600000;La Reina, Metro Principe de Gales - Reina Victoria;Cata Brochet Propiedades;Cata Brochet Propiedades
La Reina;Casa;5;4;No;523;285;13700;394560000;La Reina, Helsby/Padre Hurtado;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;4;2;No;448;133;11260;324288000;La Reina, Santa rita/alcala de henares;Eduardo Guiloff;Guiloff & Gia. Propiedades
La Reina;Casa;4;5;No;1371;425;18401;530000000;La Reina, Propiedad Residencial de 1.371 m2. Carlos Silva Vildósola. La Reina;Corretajes Prosal Ltda.;Corretajes Prosal
La Reina;Casa;4;3;No;430;160;14200;408960000;La Reina, Carlos ossandon/simon bolivar;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
La Reina;Casa;5;4;No;413;198;13900;400320000;La Reina, Carlos Silva Vildosola/Padre Hurtado;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
La Reina;Casa;4;5;No;2240;434;32000;921600000;La Reina, Av. Carlos Ossandón;Schumacher Propiedades;Schumacher Propiedades
La Reina;Casa;4;1;No;825;118;15922;458553600;La Reina, Monseñor Edwards/Pdte Ovalle;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;6;4;No;800;412;16666;480000000;La Reina, Propiedad de 800 m2 en excelente sector residencial;Corretajes Prosal Ltda.;Corretajes Prosal
La Reina;Casa;6;4;No;860;420;26040;750000000;La Reina, Larraín / Tobalaba;Vivaqui Propiedades;Vivaqui Propiedades
La Reina;Casa;5;5;No;651;202;18000;518400000;La Reina, Larrain/alvaro casanova;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
La Reina;Casa;4;3;No;1150;295;39100;1126080000;La Reina, Principe de Gales / Salvador Izquierdo;Vivaqui Propiedades;Vivaqui Propiedades
La Reina;Casa;4;3;No;650;200;14500;417600000;La Reina, Colegio Grange/Pdte. Ovalle;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;5;4;No;640;225;19490;561312000;La Reina, Carlos Silva Vildósola - Las Perdices/Avenida príncipe de Galez - La Reina Alta;Carlos Hurtado Rogers;Hurtado Propiedades S.A.
La Reina;Casa;4;2;No;690;205;16500;475200000;La Reina, Reina Victoria/Ramón Laval;Vivaqui Propiedades;Vivaqui Propiedades
La Reina;Casa;7;5;No;1100;400;19500;561600000;La Reina, Helsby/Nicanor Plaza;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;3;3;No;502;140;12990;374112000;La Reina, Hospital Militar/Carlos Ossandon;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina;Casa;3;2;No;650;200;14500;417600000;La Reina, La Cañada/Mons.Edwards;Vivaqui Propiedades;Vivaqui Propiedades
La Reina;Casa;3;1;No;55;85;3819;110000000;La Reina, Las Perdices/Fernando Castillo Velascos;Mauricio Pino Propiedades;Mauricio Pino Propiedades
La Reina;Casa;6;2;No;450;167;12846;370000000;La Reina, Alcalde Castillo Velasco/Tobalaba;Vivaqui Propiedades;Vivaqui Propiedades
La Reina;Casa;5;3;No;537;200;14800;426240000;La Reina, José Zapiola/ Echeñique;Vivaqui Propiedades;Vivaqui Propiedades
La Reina;Casa;3;3;No;1070;178;23500;676800000;La Reina, Simon gonzález/carlos ossandon;Cristian Vial Propiedades;Cristian Vial Propiedades
La Reina;Casa;2;2;No;79;79;3298;95000000;La Reina, pje dos. cauquena/nueva príncipe de gales;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
La Reina;Casa;4;2;No;860;260;18900;544320000;La Reina, Colegio Andree - Grange;Cata Brochet Propiedades;Cata Brochet Propiedades
Lampa;Casa;3;3;No;220;117;4166;120000000;Lampa, Casa en Av. San Martín Valle Grande;Armacima LImitada;Armacima Propiedades
Lampa;Casa;3;3;4;193;119;5498;158342400;Lampa, Valle Grande;Corredor Pro SpA.;Corredorpro Spa
Lampa;Casa;4;2;No;185;84;3333;96000000;Lampa, Casa en Valle Grande;Armacima LImitada;Armacima Propiedades
Lampa;Casa;3;2;2;446;70;1910;55000000;Lampa, Latorre;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;3;3;1;232;88;3400;97920000;Lampa, Larapinta Pte 2514;Victor Soto Herrera;Vende Dueño/a
Lampa;Casa;3;3;2;256;111;4090;117792000;Lampa, Larapinta Oriente;Casas en Chile;Casas en Chile
Lampa;Casa;4;3;No;300;350;9600;276480000;Lampa, Camino El Amanecer, Condominio Santa Rosa;Piren Propiedades;Piren Propiedades
Lampa;Casa;5;3;5;5300;300;7720;222336000;Lampa, Los Comendadores;Jorge Figueroa;Behouse
Lampa;Casa;2;1;1;;;1910;55000000;Lampa, Eleuterio Ramírez;Gestión Inmobiliaria Legal;Gestión Inmobiliaria & Legal
Lampa;Casa;3;2;No;0;122;3800;109440000;Lampa, La montaña sur/rio tolten;Jorge Pablo Caro Propiedades;Jorge Pablo Caro Propiedades
Lampa;Casa;4;4;No;5000;280;9722;280000000;Lampa, Condominio Mirador del Valle/Batuco/Lampa;Schumacher Propiedades;Schumacher Propiedades
Lampa;Casa;3;3;2;233;123;4687;135000000;Lampa, Gral San Martín Nte 305;Grupo Enlace Inversiones Inmobiliarias;Grupo Enlace Inversiones Inmobiliarias
Lampa;Casa;4;1;1;;;2777;79990000;Lampa, El párroco fernandez 640;Montt Propiedades ltda;Montt Propiedades ltda
Lampa;Casa;6;3;4;700;200;3298;95000000;Lampa, El Lucero, Lampa;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;3;4;4;5000;150;6666;192000000;Lampa, Hermosa vista al valle piscina,quincho;Lorena Verdugo;Vende Dueño/a
Lampa;Casa;3;1;3;1550;102;3700;106560000;Lampa, Baquedano;Jorge Figueroa;Behouse
Lampa;Casa;5;4;8;5000;300;7986;230000000;Lampa, Los Guerreros;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;3;3;2;194;198;4340;125000000;Lampa, La Montaña Norte;Work Inmobiliario;Work Inmobiliario
Lampa;Casa;4;4;4;5300;309;9700;279360000;Lampa, Los Guerreros;Jorge Figueroa;Behouse
Lampa;Casa;3;2;No;0;73;3500;100800000;Lampa, Condominio Laguna Norte/Av El Porvenir;Claudia Lespinasse;Norbert Lui Propiedades
Lampa;Casa;5;4;No;5476;0;10500;302400000;Lampa, Parcela en Condominio Algarrobo de Batuco;Corretajes Prosal Ltda.;Corretajes Prosal
Lampa;Casa;4;4;3;385;244;6250;180000000;Lampa, Condominio Los Coihues;Juan hernan maldonado manquilepe;Vende Dueño/a
Lampa;Casa;3;3;2;200;88;3125;90000000;Lampa, lampa;Vimac Gestion Inmobiliaria;Vende Dueño/a
Lampa;Casa;4;3;2;190;96;3599;103651200;Lampa, Gral San Martin / Rio Claro;Paola Andrea Becerra Espinoza;BEhouse Propiedades
Lampa;Casa;3;3;No;220;93;3368;97000000;Lampa, Avenida La Montaña/.Rio Tolten;Jaime Moris Propiedades (Providencia);Jaime Moris Propiedades (Providencia)
Lampa;Casa;4;3;3;289;175;7300;210240000;Lampa, Avenida El Rodeo;Corredor Pro SpA.;Corredorpro Spa
Lampa;Casa;7;3;8;5300;240;7465;215000000;Lampa, Los Comendadores;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;3;1;3;;;1562;45000000;Lampa, Tomás González;Gestión Inmobiliaria Legal;Gestión Inmobiliaria & Legal
Lampa;Casa;3;1;2;181;65;2800;80640000;Lampa, Av. La Hacienda 2121;Jorge Figueroa;Behouse
Lampa;Casa;3;2;No;5650;100;5208;150000000;Lampa, Batuco;Schumacher Propiedades;Schumacher Propiedades
Lampa;Casa;3;1;1;238;73;2951;85000000;Lampa, Camino Las Flores;Amparo Canales Bustos;Vende Dueño/a
Lampa;Casa;4;3;1;220;120;3993;115000000;Lampa, Las Margaritas Oriente 2443;Francis Muñoz Chavez;Vende Dueño/a
Lampa;Casa;3;2;8;5000;120;4166;120000000;Lampa, Las Calerias;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;3;3;3;273;99;4340;125000000;Lampa, Avda Los Halcones;Cesar Galaz;Vende Dueño/a
Lampa;Casa;4;4;No;5500;350;11000;316800000;Lampa, Camino Santa Sara/Condominio Quilquén/Batuco-Lampa;Mauricio Pino Propiedades;Mauricio Pino Propiedades
Lampa;Casa;4;3;2;182;125;3500;100800000;Lampa, Camino del Viento;Jorge Figueroa;Behouse
Lampa;Casa;4;2;;5060;250;12711;366076800;Lampa, Condominio los comendadores, batuco.;Kap Propiedades;Kap Propiedades
Lampa;Casa;3;3;6;4500;140;5902;170000000;Lampa, Mirador del Valle;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;5;4;8;5000;300;5729;165000000;Lampa, Las Calerias;AURORA HERNANDEZ;Vende Dueño/a
Lampa;Casa;3;3;No;230;111;3472;100000000;Lampa, Casa 2 Pisos en Hacienda Urbana Larapinta;Corretajes Prosal Ltda.;Corretajes Prosal
Lampa;Casa;3;2;No;245;71;2517;72500000;Lampa, Linda Casa de 1 Piso en Hacienda Urbana Larapinta;Corretajes Prosal Ltda.;Corretajes Prosal
Lampa;Casa;7;2;5;500;120;2257;65000000;Lampa, Batuco;AURORA HERNANDEZ;Vende Dueño/a
Las Condes;Casa;4;2;No;144;112;5555;160000000;Las Condes, Paul Harris Vital Apoquindo;Vivaqui Propiedades;Vivaqui Propiedades
Las Condes;Casa;5;4;No;860;345;23500;676800000;Las Condes, La Foresta (Mirasol/Gral. Blanche);Cata Brochet Propiedades;Cata Brochet Propiedades
Las Condes;Casa;4;5;No;840;240;18400;529920000;Las Condes, General Blanche San Carlos Apoquindo/Quebrada Honda;Alonso Baeza Rivera y Cía. Ltda. (Kennedy);Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Las Condes;Casa;6;5;No;1025;311;25000;720000000;Las Condes, La Foresta/Francisco Bulnes Correa;Francisco Vial Propiedades;Francisco Vial Propiedades
Las Condes;Casa;6;5;No;921;427;23990;690912000;Las Condes, Quinchamali/La Quebrada;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Las Condes;Casa;4;2;No;182;109;8290;238752000;Las Condes, Vichato/bilbao;Pro Partners Propiedades;Pro Partners Propiedades
Las Condes;Casa;6;5;4;1065;202;21641;623260800;Las Condes, Camino El Olivar;Ximena Aceituno Torres;Vende Dueño/a
Las Condes;Casa;5;5;No;1000;370;28990;834912000;Las Condes, Mirador Los Dominicos/Vicente Ferrer;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
Las Condes;Casa;5;4;;1980;590;50000;1440000000;Las Condes, Camino la viña;Corredores Asociados;Corredores Asociados
Las Condes;Casa;4;4;No;2480;720;59000;1699200000;Las Condes, Hamilton/Camino La Posada;Alonso Baeza Rivera y Cía. Ltda. (Kennedy);Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Las Condes;Casa;4;3;No;1023;396;26000;748800000;Las Condes, Las Condesas/General Blanche;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
Las Condes;Casa;3;2;No;150;75;11000;316800000;Las Condes, Los Militares;Cata Brochet Propiedades;Cata Brochet Propiedades
Las Condes;Casa;5;4;No;1650;290;35000;1008000000;Las Condes, Francisco de Asis;Vivaqui Propiedades;Vivaqui Propiedades
Las Condes;Casa;5;4;No;840;270;26000;748800000;Las Condes, Fray Bernardo / La Cabaña;Cata Brochet Propiedades;Cata Brochet Propiedades
Las Condes;Casa;5;5;No;1300;280;22250;640800000;Las Condes, La foresta;Cata Brochet Propiedades;Cata Brochet Propiedades
Las Condes;Casa;6;6;6;1525;492;36500;1051200000;Las Condes, Elegante casa Familiar en Colina Miravalle, Los Domínicos;María Francisca Lilienfeld;Vende Dueño/a
Las Condes;Casa;6;6;No;1390;740;35000;1008000000;Las Condes, Atalaya;Vivaqui Propiedades;Vivaqui Propiedades
Las Condes;Casa;6;5;No;804;420;19990;575712000;Las Condes, Carlos Peña Otaegui/Colina del Peumo;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
Las Condes;Casa;4;3;No;185;213;15300;440640000;Las Condes, Félix de Amesti/Las Pataguas;Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario);Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Las Condes;Casa;6;;;;;18610;536000000;Las Condes, Amplios Jardines Maravillosa Vista Piscina Calidad;Cima Propiedades;Cima Propiedades
Las Condes;Casa;5;5;No;1475;421;23500;676800000;Las Condes, Quinchamalí/Limavida;Propiedades Ricardo Vial y Cia. Ltda.;Propiedades Ricardo Vial y Cia. Ltda.
